,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
367,RAINTREE PARK,City of Vista,545 E TOWNSITE DR,Raintree Park
368,BUENA VISTA PARK POND AND OPEN SPACE,City of Vista,1749 SHADOWRIDGE DR,Buena Vista Park Pond And Open Space
369,BUENA VISTA PARK,City of Vista,2009 MELROSE DR,Buena Vista Park
370,West Hills Park,City of Santee,8750 MAST BLVD,West Hills Park
371,Big Rock Park,City of Santee,8125 ARLETTE STREET,Big Rock Park
372,Shadow Hill Park,City of Santee,9161 SHADOW HILL ROAD,Shadow Hill Park
373,Mast Park,City of Santee,9125 CARLTON HILLS BLVD,Mast Park
374,Woodglen Vista Park,City of Santee,10250 WOODGLEN VISTA DRIVE,Woodglen Vista Park
375,Town Center Park,City of Santee,RIVERWALK DRIVE AND CUYAMACA STREET,Town Center Park
376,Santee Mini Park,City of Santee,10445 MISSION GORGE ROAD,Santee Mini Park
377,Mulberry Park,City of San Marcos,751 Mulberry Dr,Mulberry Park
378,Border Field SP,State Parks,,Border Field State Park
379,Tijuana Estuary NP,State Parks,,Tijuana Estuary Nature Nature Preserve
380,South Carlsbad SB,State Parks,,South Carlsbad State Beach
381,Cardiff SB,State Parks,,Cardiff State Beach
382,CALUMET NP,City of San Diego,"5433 Calumet Avenue, 92037",Calumet Park
383,LINDA VISTA CP,City of San Diego,"6842 OSLER ST, 92111",Linda Vista Park
384,CANYON HILLS PARK,City of San Diego,"12300 Alemania Rd,92129",Canyon Hills Park
385,RHO BERNARDO CP,City of San Diego,"18448 W Bernardo Drive, 92127",Rho Bernardo Park
386,Encinitas Ranch Lot 15,City of Encinitas,,Encinitas Ranch Lot 15
387,Barelman Property,City of Encinitas,Saxony Rd / La Costa Ave,Barelman Property Open Space
388,PALISADES PARK,City of Oceanside,Rancho del Oro and Vista Del Oro,Palisades Park
389,MARSHALL PARK,City of Oceanside,1404 Marshall Street,Marshall Park
390,"TODD, BUDDY PARK",City of Oceanside,Mesa Drive and Parnassus Circle,"Todd, Buddy Park"
391,Leucadia SB,State Parks,,Leucadia State Beach
392,DOG BEACH,City of Del Mar,,Dog Beach
393,Cabrillo National Monument,State,"Cabrillo Memorial Drive, San Diego",Cabrillo National Monument
394,Undeveloped Park 1 OS,City of Chula Vista,La Senda Wy,Undeveloped Park 1 Open Space
395,Flair Slopes OS,City of Chula Vista,1189 Oleander Av,Flair Slopes Open Space
396,Greg Rogers Park OS,City of Chula Vista,1189 Oleander Av,Greg Rogers Park Open Space
397,Park OS,City of Chula Vista,673 E J St,Park Open Space
398,CAPISTRANO PARK,City of Oceanside,770 Capistrano Drive,Capistrano Park
399,"LANDES, JOHN PARK",City of Oceanside,2855 Cedar Road,"Landes, John Park"
400,IVEY RANCH PARK,City of Oceanside,4101 Mission Avenue,Ivey Ranch Park
401,TYSON STREET PARK,City of Oceanside,206 S. Strand,Tyson Street Park
402,PACIFIC STREET LINEAR PARK,City of Oceanside,Wisconsin to Surfrider,Pacific Street Linear Park
403,Terra Nova Park OS,City of Chula Vista,450 Hidden Vista Dr,Terra Nova Park Open Space
404,City Park Undeveloped OS,City of Chula Vista,1268 Fallbrook Ct,City Park Undeveloped Open Space
405,San Elijo SB,State Parks,,San Elijo State Beach
406,OCEAN BEACH GATEWAY,City of San Diego,"2300 SUNSET CLIFFS BLVD, 92107",Ocean Beach Gateway
407,TECOLOTE CP,City of San Diego,"1701 TECOLOTE RD, 92110",Tecolote Park
408,CADMAN CP,City of San Diego,"4280 Avati Drive, 92117",Cadman Park
409,N CLAIREMONT CP,City of San Diego,"4421 Bannock Avenue, 92117",N Clairemont Park
410,SOUTH CLAIREMONT CP,City of San Diego,"3577 CLAIREMONT DR, 92117",South Clairemont Park
411,KEARNY MESA CP,City of San Diego,"3170 Armstrong Street, 92111",Kearny Mesa Park
412,MARINA LINEAR NP,City of San Diego,"176 HARBOR DR, 92101",Marina Linear Park
413,HENDERSON SPORT CPLX,City of San Diego,"1092 S 45TH ST, 92113",Henderson Sport Cplx
414,PARKSIDE NP,City of San Diego,"6240 Parkside Ave., 92139",Parkside Park
415,BERRY NP,City of San Diego,"2060 Leon Rd. , 92154",Berry Park
416,SUNNYSLOPE NP,City of San Diego,"2600 Elm St., 92154",Sunnyslope Park
417,VILLA MONSERATE NP,City of San Diego,"10283 Perez Court, 92124",Villa Monserate Park
418,VILLA NORTE NP,City of San Diego,"6597 Antigua Blvd., 92124",Villa Norte Park
419,CAMP ELLIOTT NP,City of San Diego,"4916 Calle De Vida, 92124",Camp Elliott Park
420,RANCHO DEL ORO COMMUNITY PARK,City of Oceanside,College and Empresa,Rancho Del Oro Community Park
421,SPRING CREEK PARK,City of Oceanside,Melrose and Old Ranch,Spring Creek Park
422,FIRESIDE PARK,City of Oceanside,251 Fireside Street,Fireside Park
423,PACIFIC STREET LINEAR PARK,City of Oceanside,Wisconsin to Surfrider,Pacific Street Linear Park
424,RANCHO DEL ORO COMMUNITY PARK,City of Oceanside,College and Empresa,Rancho Del Oro Community Park
425,LIBBY LAKE PARK,City of Oceanside,424 Calle Montecito,Libby Lake Park
426,"ORTEGA, RON RECREATION PARK",City of Oceanside,Brooks and Maxson,"Ortega, Ron Recreation Park"
427,PRESIDIO PARK,City of San Diego,"2805 PRESIDIO DR, 92110",Presidio Park
428,NORTH PARK CP,City of San Diego,"4044 Idaho St., 92104",North Park Park
429,COLINA DEL SOL CP,City of San Diego,"4150 54th Place, 92115",Colina Del Sol Park
430,CITY HTS CP,City of San Diego,"4367 WIGHTMAN ST, 92105",City Hts Park
431,PT LOMA CP,City of San Diego,"1059 CATALINA BLVD, 92106",Pt Loma Park
432,CHOLLAS CP,City of San Diego,"6350 College Grove Dr., 92105",Chollas Park
433,MEMORIAL CP,City of San Diego,"2947 OCEAN VIEW BLVD, 92113",Memorial Park
434,ENCANTO CP,City of San Diego,"6508 Wunderlin Ave., 92114",Encanto Park
435,MARCY NP,City of San Diego,"5526 STRESEMANN ST, 92122",Marcy Park
436,GERSHWIN NP,City of San Diego,"3508 Conrad Avenue, 92117",Gershwin Park
437,MAC DOWELL NP,City of San Diego,"5173 ARVINELS AVE, 92117",Mac Dowell Park
438,TORREY PINES CITY PARK,City of San Diego,"12001 TORREY PINES PARK RD, 92037",Torrey Pines City Park
439,CHARLOTTE PARK,City of San Diego,"7962 PRINCESS ST, 92037",Charlotte Park
440,HICKMAN FIELD PARK,City of San Diego,"6660 Hickman Field Drive, 92111",Hickman Field Park
441,SAN YSIDRO CP,City of San Diego,"247 E PARK AVE, 92173",San Ysidro Park
442,OLIVE GROVE CP,City of San Diego,"6075 Printwood Way, 92117",Olive Grove Park
443,SERRA MESA CP,City of San Diego,"9020 Village Glen Drive, 92123",Serra Mesa Park
444,PACIFIC BEACH CP,City of San Diego,"1405 Diamond Street, 92109",Pacific Beach Park
445,LOMITA NP,City of San Diego,"8205 Leucadia St., 92114",Lomita Park
446,CHRISTOPHER WILSON NP,City of San Diego,"8285 Skyline Dr., 92114",Christopher Wilson Park
447,MARIE WIDMAN MEMORIAL PARK,City of San Diego,"6727 IMPERIAL AVE, 92114",Marie Widman Memorial Park
448,BOONE NP,City of San Diego,"7248 Bullock Dr., 92114",Boone Park
449,Z ST MP,City of San Diego,"3944 Z ST, 92113",Z St Park
450,41ST ST MP,City of San Diego,"4105 Gamma St., 92113",41st St Park
451,Undeveloped Park OS,City of Chula Vista,811 Arroyo Pl,Undeveloped Park Open Space
452,RDR SPA I Phase 2 Park OS,City of Chula Vista,700 Buena Vista Wy,Rdr Spa I Phase 2 Park Open Space
453,Independence Park OS,City of Chula Vista,1248 Calle Santiago,Independence Park Open Space
454,ALLIED GARDENS CP,City of San Diego,"5155 Greenbrier Ave., 92120",Allied Gardens Park
455,LAKE MURRAY CP,City of San Diego,"6308 PARK RIDGE BLVD, 92120",Lake Murray Park
456,SAN CARLOS CP,City of San Diego,"6445 Lake Badin Ave., 92119",San Carlos Park
457,DAILARD NP,City of San Diego,"6391 Cibola Rd, 92120",Dailard Park
458,HILLTOP CP,City of San Diego,"14000 MC ENTEE ST, 92129",Hilltop Park
459,BLACK MTN RCH CP,City of San Diego,"14700 Carmel Valley Road, 92128",Black Mtn Rch Park
460,CARMEL MTN RCH CP,City of San Diego,"10166 RANCHO CARMEL DR, 92128",Carmel Mtn Rch Park
461,CARMEL VALLEY CP,City of San Diego,"3751 TOWNSGATE DR, 92130",Carmel Valley Park
462,MARTIN L KING CP,City of San Diego,"6407 SKYLINE DR, 92114",Martin L King Park
463,SKYLINE HILLS CP,City of San Diego,"8285 Skyline Dr., 92114",Skyline Hills Park
464,UNION PL CR MP,City of San Diego,"1250 Park Row Circle, 92101",Union Pl Cr Park
465,SOUTHCREST CP,City of San Diego,"1297 S 40TH ST, 92113",Southcrest Park
466,PARADISE HILLS CP,City of San Diego,"6610 Potomac St., 92139",Paradise Hills Park
467,BAY TERRACES CP,City of San Diego,"7373 Tooma St., 92139",Bay Terraces Park
468,EGGER-SOUTH BAY CP,City of San Diego,"1885 CORONADO SB AVE, 92154",Egger-South Bay Park
469,MONTGOMERY-WALLER CP,City of San Diego,"3020 Coronado Ave., 92154",Montgomery-Waller Park
470,NICHOLSON'S POINT NP,City of San Diego,"246 COAST BLVD, 92037",Nicholson'S Point Park
471,COAST BLVD NP,City of San Diego,"322 COAST BLVD, 92037",Coast Blvd Park
472,CANYONSIDE CP,City of San Diego,"12350 Black Mountain Road, 92129",Canyonside Park
473,SCRIPPS RCH CP,City of San Diego,"11424 BLUE CYPRESS DR, 92131",Scripps Rch Park
474,MIRA MESA CP,City of San Diego,"8575 New Salem Street, 92126",Mira Mesa Park
475,NOBEL ATHLETIC AREA,City of San Diego,"8810 Judicial Drive, 92121",Nobel Athletic Area
476,DOYLE CP,City of San Diego,"3950 Berino Court, 92122",Doyle Park
477,LA JOLLA CP,City of San Diego,"615 Prospect Street, 92037",La Jolla Park
478,STANDLEY CP,City of San Diego,"3547 GOVERNOR DR, 92122",Standley Park
479,TIERRASANTA CP,City of San Diego,"11220 Clairemont Mesa Bl., 92124",Tierrasanta Park
480,ADAMS AVENUE CP,City of San Diego,"3491 Adams Ave., 92116",Adams Avenue Park
481,OCEAN BEACH CP,City of San Diego,"1984 EBERS ST, 92107",Ocean Beach Park
482,CLEATOR BILL CP,City of San Diego,"4412 NIMITZ BLVD, 92107",Cleator Bill Park
483,LA JOLLA STRAND NP,City of San Diego,"6664 NEPTUNE PL, 92037",La Jolla Strand Park
484,VIA D NORTE MP,City of San Diego,"6165 LA JOLLA HERMOSA AVE, 92037",Via D Norte Park
485,COLOR MP,City of San Diego,"1650 Los Altos Road, 92109",Color Park
486,KATE SESSIONS MEMORIAL NP,City of San Diego,"5115 Soledad Road, 92109",Kate Sessions Memorial Park
487,TOURMALINE SURFING NP,City of San Diego,"601 Tourmaline Street, 92109",Tourmaline Surfing Park
488,BIRD ROCK NP,City of San Diego,"5371 La Jolla Hermosa Avenue, 92037",Bird Rock Park
489,MT ETNA NP,City of San Diego,"4741 Mt Etna Drive, 92117",Mt Etna Park
490,LINDBERGH NP,City of San Diego,"4141 Ashford Street, 92111",Lindbergh Park
491,MT ACADIA NP,City of San Diego,"3865 Mt Acadia Boulevard, 92111",Mt Acadia Park
492,OLD TROLLEY BARN NP,City of San Diego,"1900 Adams Ave., 92116",Old Trolley Barn Park
493,NORTH  MTN VIEW MP,City of San Diego,"3376 N MOUNTAIN VIEW DR, 92116",North  Mtn View Park
494,CHILDRENS MUSEUM MP,City of San Diego,"255 W ISLAND AVE, 92101",Childrens Museum Park
495,OLIVE ST MP,City of San Diego,"2798 3RD AVE, 92103",Olive St Park
496,CENTRAL AVE MP,City of San Diego,"3660 CENTRAL AVE, 92105",Central Ave Park
497,HOWARD LANE NP,City of San Diego,"1626 DAIRY MART RD, 92173",Howard Lane Park
498,LOS ALTOS NP,City of San Diego,"3898 MARZO ST, 92154",Los Altos Park
499,OCEAN VIEW HILLS NP,City of San Diego,"4925 OCEAN VIEW HILLS PKWY, 92154",Ocean View Hills Park
500,VISTA PACIFICA NP,City of San Diego,"6066 Avenida de las Vistas, 92154",Vista Pacifica Park
501,LA JOLLA ATHL AREA,City of San Diego,"4636 Torrey Pines Road, 92130",La Jolla Athl Area
502,KELLOGG NP,City of San Diego,"8300 CAM DEL ORO, 92037",Kellogg Park
503,UNIVERSITY VILLAGE NP,City of San Diego,"7150 Florey Street, 92122",University Village Park
504,UNIVERSITY GARDENS NP,City of San Diego,"6431 Gullstrand Street, 92122",University Gardens Park
505,STARKEY MP,City of San Diego,"6705 DRAPER AVE, 92037",Starkey Park
506,GRANT HILL NP,City of San Diego,"2632 J ST, 92102",Grant Hill Park
507,30TH ST MP,City of San Diego,"702 S.30TH St., 92113",30th St Park
508,SHERMAN MP,City of San Diego,"450 24th St., 92012",Sherman Park
509,CHICANO PARK,City of San Diego,"1982 National Ave., 92113",Chicano Park
510,HERMOSA TERRACE PARK,City of San Diego,"6500 NEPTUNE PL, 92037",Hermosa Terrace Park
511,LA JOLLA HERMOSA PARK,City of San Diego,"5788 CHELSEA ST, 92037",La Jolla Hermosa Park
512,MISSION BEACH PARK,City of San Diego,"804 W MISSION BAY DR, 92109",Mission Beach Park
513,MISSION BAY PARK,City of San Diego,"2682 INGRAHAM ST, 92109",Mission Bay Park
514,NAVAL TRAINING CENTER PARK,City of San Diego,"2750 Womble Rd, 92106",Naval Training Center Park
515,BALBOA PARK,City of San Diego,"2125 Park Boulevard, 92101",Balboa Park
516,SUNSET CLIFFS NATURAL PARK,City of San Diego,"700 SUNSET CLIFFS BLVD, 92107",Sunset Cliffs Natural Park
517,KENMORE TERRACE MP,City of San Diego,"4842 Kenmore Terrace, 92103",Kenmore Terrace Park
518,MONTEZUMA NP,City of San Diego,"4941 CATOCTIN DR, 92115",Montezuma Park
519,COLLIER NP,City of San Diego,"2351 Soto Street, 92107",Collier Park
520,WINDANSEA NP,City of San Diego,"6950 NEPTUNE PL, 92037",Windansea Park
521,JERABEK NP,City of San Diego,"10150 Avenida Magnifica, 92131",Jerabek Park
522,MISSION HILLS NP,City of San Diego,"1586 WASHINGTON PL, 92103",Mission Hills Park
523,PARK DE LA CRUZ NP,City of San Diego,"3901 Landis St. , 92105",Park De La Cruz Park
524,SOUTH VILLAGE NP,City of San Diego,"9353 Oviedo Street, 92129",South Village Park
525,MARTIN AVE MP,City of San Diego,"3469 MARTIN AVE, 92113",Martin Ave Park
526,J ST MP,City of San Diego,"3291 J St., 92102",J St Park
527,ROADRUNNER NP,City of San Diego,"4779 LA CUENTA DR, 92124",Roadrunner Park
528,CHOLLAS PARKWAY OPEN SPACE,City of San Diego,"2891 EUCLID AVE, 92105",Chollas Parkway Open Space
529,SUNSHINE BERARDINI FIELD,City of San Diego,"4416 FEDERAL BLVD, 92102",Sunshine Berardini Field
530,CHARLES STEVENS III MEMORIAL PARK,City of San Diego,"4632 HOME AVE, 92105",Charles Stevens Iii Memorial Park
531,MCCALL ST MP,City of San Diego,"453 SAN ANTONIO AVE, 92106",Mccall St Park
532,HORTON PLAZA NP,City of San Diego,"325 Broadway Ave, 92101",Horton Plaza Park
533,NESTOR NP,City of San Diego,"2423 Grove Ave., 92154",Nestor Park
534,SOUTHWEST NP,City of San Diego,"1416 27TH SB ST, 92154",Southwest Park
535,SILVER WING NP,City of San Diego,"3737 Arey Dr. , 92154",Silver Wing Park
536,PALM RIDGE NP,City of San Diego,"751 Firethorn St., 92154",Palm Ridge Park
537,PACIFIC BEACH NP,City of San Diego,"4507 OCEAN BLVD, 92109",Pacific Beach Park
538,KELLY STREET NP,City of San Diego,"6640 Kelly Street, 92111",Kelly Street Park
539,MISSION HEIGHTS NP,City of San Diego,"1716 Westinghouse Street, 92111",Mission Heights Park
540,KENSINGTON NP,City of San Diego,"4121 Adams Ave., 92116",Kensington Park
541,PENASQUITOS VILLAGE NP,City of San Diego,"10636 CARMEL MOUNTAIN RD, 92129",Penasquitos Village Park
542,ROLLING HILLS NP,City of San Diego,"11082 Carlota, 92129",Rolling Hills Park
543,TORREY DEL MAR NP,City of San Diego,"7693 McGonigle Trail , 92130",Torrey Del Mar Park
544,PANTOJA NP,City of San Diego,"524 West G Street, 92118",Pantoja Park
545,DAVIS HOUSE MP,City of San Diego,"424 ISLAND AVE, 92101",Davis House Park
546,KING PROMENADE NP,City of San Diego,"326 W HARBOR DR, 92101",King Promenade Park
547,WABASH NP,City of San Diego,"3356 UNIVERSITY AVE, 92104",Wabash Park
548,CENTRAL NP,City of San Diego,"4081 POLK AVE, 92105",Central Park
549,WIGHTMAN ST NP,City of San Diego,"5028 WIGHTMAN ST, 92105",Wightman St Park
550,DEL MAR MESA NP,City of San Diego,"6622 DUCK POND LN, 92130",Del Mar Mesa Park
551,TWIN TRAILS NP,City of San Diego,"8900 Twin Trails Drive, 92129",Twin Trails Park
552,RIDGEWOOD NP,City of San Diego,"12530 LA TORTOLA, 92129",Ridgewood Park
553,PENASQUITOS TOWN CTR NP,City of San Diego,"13349 SALMON RIVER RD, 92129",Penasquitos Town Ctr Park
554,VIEWS WEST NP,City of San Diego,"12904 LA TORTOLA, 92129",Views West Park
555,SABRE SPRINGS NP,City of San Diego,"12953 Sabre Springs Parkway, 92128",Sabre Springs Park
556,SOUTH CREEK NP,City of San Diego,"12245 Wickerbay Cove, 92128",South Creek Park
557,CLAY AVE MP,City of San Diego,"3156 CLAY AVE, 92113",Clay Ave Park
558,CANYON VIEW POCKET MP,City of San Diego,"11724 Spring Canyon Rd., 92131",Canyon View Pocket Park
559,MIRAMAR RCH NORTH NP,City of San Diego,"10459 SCRIPPS POWAY PKWY, 92131",Miramar Rch North Park
560,CYPRESS CANYON NP,City of San Diego,"11470 Cypress Canyon Rd., 92131",Cypress Canyon Park
561,TORREY MEADOWS NP,City of San Diego,"13516 TORREY MEADOWS DR, 92129",Torrey Meadows Park
562,ADOBE BLUFFS NP,City of San Diego,"8805 Gainsborough Avenue, 92129",Adobe Bluffs Park
563,HIGHLAND RANCH NP,City of San Diego,"12140 Eastbourne Road, 92128",Highland Ranch Park
564,CREST CYN NP,City of San Diego,"2250 Del Mar Heights Road, 92130",Crest Cyn Park
565,CARMEL DEL MAR NP,City of San Diego,"12345 Carmel Park Drive, 92103",Carmel Del Mar Park
566,WINDWOOD NP,City of San Diego,"12757 CARMEL CREEK RD, 92130",Windwood Park
567,CARMEL MISSION NP,City of San Diego,"12281 CARMEL COUNTRY RD, 92130",Carmel Mission Park
568,PLUMOSA MP,City of San Diego,"2676 CHATSWORTH BLVD, 92106",Plumosa Park
569,L ST MP,City of San Diego,"2901 L St., 92102",L St Park
570,ALLEN DENNIS V NP,City of San Diego,"800 Boundary St., 92102",Allen Dennis V Park
571,GOMPERS NP,City of San Diego,"4926 Hilltop Dr., 92102",Gompers Park
572,LA PAZ MP,City of San Diego,"5292 LA PAZ DR, 92114",La Paz Park
573,SANTA ISABEL MP,City of San Diego,"771 SANTA ISABEL DR, 92114",Santa Isabel Park
574,OCEAN VIEW MP,City of San Diego,"4294 OCEAN VIEW BLVD, 92113",Ocean View Park
575,KENNEDY JOHN F NP,City of San Diego,"4825 Ocean View Bl., 92113",Kennedy John F Park
576,KEILLER NP,City of San Diego,"7400 Lisbon St., 92114",Keiller Park
577,LOPEZ RIDGE NP,City of San Diego,"7245 Calle Cristobal, 92126",Lopez Ridge Park
578,MADDOX NP,City of San Diego,"7793 FLANDERS DR, 92126",Maddox Park
579,MESA VERDE NP,City of San Diego,"8342 FLANDERS DR, 92126",Mesa Verde Park
580,AVIARY NP,City of San Diego,"9782 Aviary Drive., 92131",Aviary Park
581,FORESTVIEW MP,City of San Diego,"11201 Forestview Lane, 92131",Forestview Park
582,LAKEVIEW NP,City of San Diego,"10788 MIRA LAGO TRL, 92131",Lakeview Park
583,MIRAMAR OVERLOOK NP,City of San Diego,"11417 Scripps Ranch Blvd, 92131",Miramar Overlook Park
584,MOUNTAIN VIEW NP,City of San Diego,"551 S. 40th St., 92113",Mountain View Park
585,VISTA TERRACE NP,City of San Diego,"301 Athey Ave., 92173",Vista Terrace Park
586,SAN YSIDRO ATHL AREA LARSEN FIELD,City of San Diego,"455 SYCAMORE RD, 92173",San Ysidro Athl Area Larsen Field
587,CAMINO RUIZ NP,City of San Diego,"11498 Camino Ruiz, 92126",Camino Ruiz Park
588,MESA VIKING NP,City of San Diego,"11278 Westonhill Drive, 92126",Mesa Viking Park
589,WESTVIEW NP,City of San Diego,"11278 Westview Parkway, 92126",Westview Park
590,BREEN NP,City of San Diego,"11103 Polaris Drive, 92126",Breen Park
591,SEMILLON MP,City of San Diego,"12074 SEMILLON BLVD, 92131",Semillon Park
592,SPRING CANYON NP,City of San Diego,"11157 SCRIPPS POWAY PKWY, 92131",Spring Canyon Park
593,DEL MAR TRAILS NP,City of San Diego,"4450 DEL MAR TRAILS RD, 92130",Del Mar Trails Park
594,CORAL GATE NP,City of San Diego,"3279 Anella Rd., 92173",Coral Gate Park
595,32ND ST MP,City of San Diego,"3145 32ND ST., 92104",32nd St Park
