,NAME,OWNERSHIP,LOCATION,ALIAS_NAME
629,SUNRIDGE VISTA MP,City of San Diego,"10305 Azuaga, 92129",Sunridge Vista Park
630,TERALTA NP,City of San Diego,"4100 Central Ave., 92105",Teralta Park
631,ANTIGUA POCKET NP,City of San Diego,"5699 Antigua Blvd., 92124",Antigua Pocket Park
632,BRIGHTON NP,City of San Diego,"2172 Spray Street., 92107",Brighton Park
633,W LEWIS ST MP,City of San Diego,"792 W LEWIS ST, 92103",W Lewis St Park
634,W MAPLE CANYON MP,City of San Diego,"250 W MAPLE ST, 92103",W Maple Canyon Park
635,NORTH PARK MP,City of San Diego,"2874 N PARK WAY, 92104",North Park
636,MURRAY RIDGE NP,City of San Diego,"8651 Celestine Avenue, 92123",Murray Ridge Park
637,PRINCESS DEL CERRO NP,City of San Diego,"6221 WENRICH DR, 92120",Princess Del Cerro Park
638,RHO MISSION CYN NP,City of San Diego,"7635 MARGERUM AVE, 92120",Rho Mission Cyn Park
639,SAN CARLOS POCKET NP,City of San Diego,"6599 E LAKE DR, 92119",San Carlos Pocket Park
640,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
641,SOLANA HIGHLANDS NP,City of San Diego,"3520 Long Run Drive, 92130",Solana Highlands Park
642,RIVIERA DEL SOL NP,City of San Diego,"4524 RIVIERA SHORES ST, 92154",Riviera Del Sol Park
643,SEFTON NP,City of San Diego,"2508 HOTEL CIRCLE PL, 92108",Sefton Park
644,STONEBRIDGE NP,City of San Diego,15030 Sycamore Trail Rd.,Stonebridge Park
645,TORREY HIGHLANDS NP,City of San Diego,"4450 Lansdale Dr., 92130",Torrey Highlands Park
646,SOUTH CREST TRAILS NP,City of San Diego,"3605 BETA ST, 92113",South Crest Trails Park
647,PETWAY NP,City of San Diego,"1367 RIGEL ST, 92113",Petway Park
648,CARMEL KNOLLLS NP,City of San Diego,"4850 Carmel Knolls Dr., 92130",Carmel Knollls Park
649,"SCRIPPS, ELLEN B NP",City of San Diego,"1146 COAST BLVD, 92037","Scripps, Ellen B Park"
650,CLIFFRIDGE NP,City of San Diego,"8301 CLIFFRIDGE AVE, 92037",Cliffridge Park
651,LAUREATE/MATA PARK MP,City of San Diego,"2219 AVE DE LA PLAYA, 92037",Laureate/Mata Park
652,VILLA LA JOLLA NP,City of San Diego,"8341 VIA MALLORCA, 92037",Villa La Jolla Park
653,TUXEDO NP,City of San Diego,"6978 Tuxedo Rd., 92119",Tuxedo Park
654,PALISADES NORTH NP,City of San Diego,"4937 OCEAN BLVD, 92109",Palisades North Park
655,WESTERN HILLS NP,City of San Diego,"4810 Kane Street, 92110",Western Hills Park
656,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
657,TECOLOTE CANYON NATURAL OS PARK,City of San Diego,,Tecolote Canyon Natural Open Space Park
658,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
659,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
660,DEL MAR MESA OS,City of San Diego,,Del Mar Mesa Open Space
661,OTAY VALLEY REGIONAL PARK,City of San Diego,,Otay Valley Regional Park
662,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
663,SWITZER OS,City of San Diego,,Switzer Open Space
664,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
665,BUTTERFLY MP,City of San Diego,"11885 Cypress Canyon Rd., 92131",Butterfly Park
666,CARMEL VIEW MP,City of San Diego,"3764 VALLEY CENTRE DR,92130",Carmel View Park
667,IMPERIAL MARKET PLACE,City of San Diego,"4475 Imperial Ave, 92113",Imperial Market Place
668,BEYER CP,City of San Diego,"2300 E. Beyer Blvd., 92173",Beyer Park
669,CHEROKEE POINT NP,City of San Diego,"3901 Landis St. , 92105",Cherokee Point Park
670,SYCAMORE CANYON NP,City of San Diego,,Sycamore Canyon Park
671,MORLEY GREEN MP,City of San Diego,,Morley Green Park
672,EDWARD TYLER CRAMER NP,City of San Diego,,Edward Tyler Cramer Park
673,CANON STREET MP,City of San Diego,,Canon Street Park
674,COAST VIEW MP,City of San Diego,,Coast View Park
675,SAN YSIDRO MP,City of San Diego,,San Ysidro Park
676,PASATIEMPO NP,City of San Diego,,Pasatiempo Park
677,BEDLOW NP,City of San Diego,,Bedlow Park
678,OTAY MITIGATION SITE,City of San Diego,,Otay Mitigation Site
679,SWITZER OS,City of San Diego,,Switzer Open Space
680,EAST GATE MP #1,City of San Diego,"9639 TOWNE CENTRE DR, 92121",East Gate Park #1
681,G ST MP,City of San Diego,"302 G ST , 92101",G St Park
682,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
683,TIERRASANTA OS,City of San Diego,,Tierrasanta Open Space
684,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
685,LOS PENASQUITOS CANYON OS,City of San Diego,,Los Penasquitos Canyon Open Space
686,UNIVERSITY HEIGHTS OS PARK,City of San Diego,,University Heights Open Space Park
687,MISSION VALLEY HILLSIDES OS,City of San Diego,,Mission Valley Hillsides Open Space
688,CREST CANYON OS PARK,City of San Diego,,Crest Canyon Open Space Park
689,MISSION TRAILS OS,City of San Diego,,Mission Trails Open Space
690,MISSION VALLEY PRESERVE,City of San Diego,,Mission Valley Preserve
691,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
692,CANYON HILLS OS,City of San Diego,,Canyon Hills Open Space
